Well Number,Description,Depth,Geology,Lithology
G40/0013,Very Silty GRAVELS,30.2,,GRSI
F41/0262,Very coarse quartz and schist GRAVELS,44.4,,CGR
G42/0315,CLAY,31,,CL
G42/0726,MAINLY small Silty GRAVELS,23.7,,GRSI
F41/0177,Topsoil,0.3,,SOIL
J41/0006,Green SAND,38.5,,SA
H45/0340,"CLAYS, brown",11.6,,CL
I44/1061,Claybound GRAVELS,4.1,,GRCL
G42/0784,Brown GRAVEL in CLAY matrix,0.6,,GRCL
F40/0128,Sandy GRAVELS,22.3,,GRSA
F40/0244,Sandy GRAVELS,22.6,,GRSA
I44/0900,CLAY and thin Gravel layers,6.5,,GRCL
F41/0338,"Brown quartzy SCHIST - broken, soft",96,,SCHIST
I43/0032,Silts,13.6,,SI
I44/0792,GRAVEL,34.6,,GR
G42/0774,Soft Zone,26.2,,NOLOG
G42/0833,Sandy fine GRAVEL,23.5,,FGRSA
F40/0205,TOPSOIL,1.8,,SOIL
G45/0243,MUDSTONE,84,,MS
G41/0478,GRAVELS VERY Silty,17.1,,GRSI
C-2016,Fine quartzose GRAVELS/SANDS,184.2,,FGRSA
G41/0135,GRAVELS and CLAY,1,,GRCL
I44/0089,Loose GRAVEL (water bearing),31.1,,GR
G42/0630,Very Sandy GRAVELS,32.7,,GRSA
J41/0708,Yellow Very Silty GRAVEL,4.9,,GRSI
G41/0405,Brown SILT,0.9,,SI
G41/0317,Silty GRAVELS,17.9,,GRSI
G44/0234,SOFT DARK ROCK,78,,TERT
I44/0855,Claybound GRAVELS,13.6,,GRCL
G45/0232,Earth,0.3,,SOIL
G42/0786,Grey-Brown FINE SAND and BROWN CLAY,32,,CLSI
I44/1056,SAND GRAVELS,5.2,,GRSA
I44/1003,"Fine to medium SAND, brown",40.1,,FSA
G43/0156,Topsoil,1.3,,SOIL
J41/0755,VERY small QUARTZ GRAVELS,60,,FGR
C-2070,H carbonaceous MUDSTONE,84.8,,MS
C-2020,Bedded blue grey to grey MUDSTONE with occasional w carbonaceous zones,22,,MS
F41/0302,Small Sandy GRAVELS,31.6,,FGRSA
G44/0247,Silty SAND,5.8,,SISA
I44/1143,"Dark grey, organic Silty CLAY, very soft to stiff, saturated, highly plastic, some Shells",12.1,,OMCLSH
J41/0748,"BASALT, grey",99,,VOLC
F40/0283,"Pea GRAVELS, some large Pebbles",41,,GR
I44/0291,CLAY and GRAVEL layers,24.5,,GRCL
E41/0149,Silty GRAVEL,3,,GRSI
G44/0165,GRAVEL and SAND,29.4,,GRSA
C-2021,Silty MUDSTONE to MUDSTONE,99.2,,MS
H46/0153,SAND,13,,SA
G41/0200,Yellow CLAY,20.3,,CL
I44/0762,Tight GRAVEL,28,,CEGR
J42/0158,Topsoil,0.3,,SOIL
G40/0145,Silts,9.3,,SI
J41/0571,TOPSOIL,0.3,,SOIL
G41/0348,Coarse damp SAND,2.6,,CSA
J41/0523,Blue ROCK and hard STONE,10.67,,TERT
G43/0219,Sandy GRAVELS,10.5,,GRSA
G41/0111,Coarse GRAVELS with some Sand,14.75,,CGRSA
J41/0282,Grey Sandy fine to coarse GRAVEL,9.8,,GRSA
F41/0321,Grey SILTS,22.2,,SI
J41/0254,Brown weathered ROCK; moist,7,Deborah Volcanics,VOLC
I44/0744,Claybound GRAVEL,20.5,,GRCL
G42/0664,SAND,6.3,,SA
G43/0205,MUDSTONE,28.6,,MS
J41/0380,Red-Purple Siltstone crushed zones,49.4,,SS
C-2010,Muddy SANDSTONE,98,,SS
I44/1032,CLAY,1.6,,CL
H45/0101,Schist (textural zone IIIA),32,,SCHIST
I44/0737,Dirty Brown GRAVELS and CLAY,25.8,,GRCL
G40/0161,Grey CLAY,36,,CL
G42/0732,Silts,61.5,,SI
G45/0145,GRAVELS and Clay traces,6,,GRCLTR
F40/0344-3,Silty Sandy GRAVELS,12.6,,GRSISA
C-2046,Silty MUDSTONE,56.8,,MS
G40/0260,Silty Sandy GRAVELS,7.9,,GRSISA
ECL 2013-19,MEDIUM SAND medium GRAVEL BROWNISH GREY,9,,GRSA
H42/0218,Damp GRAVELS,4.5,,GR
F40/0217,Silts,5.2,,SI
G40/0202,Quartz GRAVEL,23.8,,GR
H41/0174,CLAY,1,,CL
I44/0774,Sandy GRAVEL with yellow CLAY lenses,36.4,,GRCLSA
J41/0391,Grey-brown-green Silty fine SAND,102.6,,SISA
G42/0620,Yellow CLAY,11.2,,CL
F40/0112,SAND,15.3,,SA
H42/0191,Quartz GRIT,47.9,,CSA
I44/0921,"Fine to medium GRAVEL, rusty brown, interbeds of coarse Gravel and Sand",49.5,,FGR
G41/0489,"Sandy coarse GRAVELS, odd Cobbles",17.5,,CGRSA
C-2014,Pale cream white Sandy clays,8,,CLSA
F41/0244,"Some coarse angular GRAVELS, SAND and SILT",19,,GRSISA
I44/0563,Blue PUG,3.7,,CL
J41/0128,Blue MARBLE,15.24,,TERT
G42/0711,SCHIST Rock,4.3,,SCHIST
H45/0325,Claybound GRAVELS,12.5,,GRCL
F41/0360,TOPSOIL,0.6,,SOIL
G45/0169,"CLAY, some Gravels",7.2,,GRCL
C-2005,Muddy SANDSTONE,242.4,,SS
C-2011,MUD/CLAYSTONE,73.6,,CSMS
J41/0351,Grey SILTSTONE,20.9,,SS
F40/0182,Sandy Brown GRAVELS SANDSTONE,19.5,,SS
J42/0170,Moist brown CLAY,11,,CL
F41/0336,SILTS and ROCK DRY,116,,TERT
F40/0168,Sandy GRAVEL,21.7,,GRSA
I44/1077,CLAY,27.6,,CL
I44/1084,CLAYS and BASALT BOULDERS,4.8,,BOCL
F40/0222,Coarse Sandy GRAVEL,81.3,,CGRSA
G42/0208,Topsoil,0.3,,SOIL
G44/0226,Yellow Sandy quartz GRAVELS,14.8,,GRSA
E41/0156,MUDDY SILT BOUND ANGULAR GRAVELS,24.8,,GRSISA
G42/0717,Very small Sandy GRAVELS,15.1,,FGRSA
H41/0021,"Green SCHIST facies, chlorite zone, well foliated, dark grey to light green in colour",150.9,,SCHIST
H42/0215,Blue SILT,18.5,,SI
G41/0432,TOPSOIL,0.4,,SOIL
G40/0417,Yellowish Silty GRAVELS,11,,GRSI
J41/0496,Orange SAND and Quartz GRIT,6.8,,CSA
ECL 2013-10,MEDIUM GRAVELLY medium SAND grey BROWN,9,,GRSA
I44/0747,Brown GRAVEL,36,,GR
F40/0342-2,Tight grey SILTS some Gravels,20,,GRSI
I44/0081,CLAY,3.5,,CL
H42/0187,Soft grey CLAY,26,,CL
J41/0555,GREENSAND,191,,SA
J41/0128,GRAVEL,9.1,,GR
I44/0784,Hard yellow CLAY,35.35,,CL
F40/0331,SAND some Gravels,18.5,,SAGR
J41/0747,"Blue Silty CLAY layers, hard SILTSTONE",20,,CLSIMS
C-2069,Rel fresh gretwacke and schistose GRAVELS,8.2,,GR
E41/0137,Silty Sandy GRAVEL and COBBLES,48.3,,CGRSISA
F41/0499,VERY Silty GRAVELS BLOWING DUST,11.4,,GRSI
F40/0357-6,Brown grey SILTS,8.7,,SI
F40/0092,GRAVELS,7,,GR
G44/0219,Yellow CLAY,16.1,,CL
F41/0324,Sandy grey GRAVEL,47,,GRSA
G40/0154,Yellow CLAY,29.5,,CL
I44/0702,GRAVELS,0.3,,GR
J41/0748,LIMESTONE FOSSIL ORANGE,126,,LIME
I44/1011,CLAY,3.1,,CL
G45/0147,Oxidised SCHIST ROCK,9.5,,SCHIST
I44/0030,GRAVELS,26,,GR
G42/0403,Old outwash SAND,34.1,,SA
G40/0225,Grey Sandy coarse GRAVEL,37.5,,GRSA
I44/0090,"CLAY and GRAVEL, mixed",18.3,,GRCL
I44/0964,CLAY,4.4,,CL
F41/0262,Floater (Brown Sandy GRAVEL),2.85,,GRSA
G40/0193,Silty brown GRAVELS,10.5,,GRSI
G44/0178,FRACTURED ROCK and SILTS,33,,TERT
F40/0214,Brown SILT,1.9,,SI
G42/0680,Sandy GRAVELS,44.8,,GRSA
I44/0991,Grey CLAY,15.5,,CL
G46/0147-2,Blue ROCK BASALT,300,,VOLC
J41/0399,White SANDSTONE,34.1,,SS
G41/0490,"Coarse to Cobbly GRAVELS, Sandy",22.9,,CGRSA
I44/0988,Yellow CLAY,13,,CL
F44/0100,MUDSTONE and COAL,40.2,,MS
J41/0489,Carbonaceous MUD,60.9,,CL
G40/0061,Yellow Sandy CLAY,21.4,,CLSA
G41/0263,Very Sandy GRAVELS,48.3,,GRSA
F41/0476,Not logged,12,,nolog
C-2010,Weak to mod carbonaceous MUDSTONE,109.8,,MS
H44/0026,CLAY with GRAVEL layers,14.7,,GRCL
J42/0162,Green-grey MUDSTONE,24,,MS
G41/0198,BOULDERS,12.6,,BO
I44/0991,Grey CLAY,10.8,,CL
J41/0281,Small to LARGE grey GRAVELS and BROWN SAND,16.7,,GRSA
H44/0013,Yellow loose quartzose GRAVEL,19.9,,GR
F41/0394,Grey SCHIST rock,5.6,,SCHIST
I44/0988,Brown CLAY,15.5,,CL
G44/0227,SAND,2.5,,SA
G41/0445,TOPSOIL,0.3,,SOIL
G44/0175,Pug,8,,CL
I44/1001,Yellow CLAY,28.3,,CL
J41/0367,Grey Silty fine SAND,47.6,,SISA
J41/0244,Silt,24.38,,SI
H42/0215,Coarse brown GRITS,25.3,,CSA
E40/0101,Grey Sandy Schist GRAVEL,6.5,,GRSA
J43/0118A,CLAY,27,,CL
C-2005,MUDSTONE - Silty MUDSTONE,67.9,,MS
E41/0157,VEGETATION and TOPSOIL,0.2,,SOIL
H43/0190,CLAY,4.1,,CL
G42/0785,Green-brown fine SAND with 5-10% coarser fragments; water bearing,47,,FSA
I44/1109,Grey SCHIST,105,,SCHIST
G40/0278,Weathered ROCK,79,,TERT
G42/0677,Coarse Sandy GRAVELS and BOULDERS,26.3,,BOCGRSA
G40/0310,Very Sandy GRAVEL,34,,GRSA
H45/0305,Grey GRAVELS and Quartz,21,,GR
E41/0112,Blue Silty GRAVEL,22.4,,GRSI
I44/0687,CLAY,2,,CL
G40/0049,Sandy CLAY,1.4,,CLSA
I44/0748,GRAVEL,9.15,,GR
J41/0505,UNDIFFERENTIATED BASALT BODY,12,,VOLC
G41/0394,SANDS fine GRAVEL,4.8,,FGRSA
I44/0970,Claybound GRAVELS,17,,GRCL
G40/0365,Sandy GRAVELS and COBBLES,44.5,,CGRSA
G40/0229,"Sandy large COBBLES, GRAVELS",11,,CGRSA
J41/0396,"Silty CLAY, grey GRAVELS, PEBBLES, scattered COBBLES, moist",4.5,,GRCLSI
G41/0283,Sandy GRAVEL,13.2,,GRSA
G42/0137,Light Brown CLAY,29.92,,CL
F40/0303,Silty MAINLY small GRAVELS,62.5,,GRSI
I44/0847,Tight CLAY,42,,CECL
G45/0232,Hard black volcanic ROCK with red volcanic Ash layers,42,,VOLC
E41/0100,Silty Sandy GRAVELS,23.1,,GRSISA
I44/1045,GRAVELS,32,,GR
G41/0336,Coarse COBBLE,28.5,,CGR
F41/0353,Sandy SCHIST GRAVELS,18.5,,GRSA
ECL 2013-5,Very Soft CLAY light brown,25.5,,CL
G45/0106,Topsoil,0.7,,SOIL
H42/0214,Light brown Silty CLAY with minor angular QUARTZ GRAVEL,8.5,,GRCLSI
G45/0179,Sandy CLAY,1,,CLSA
G40/0189,Small Sandy GRAVELS,50.5,,FGRSA
I44/0091,Yellow CLAY,9,,CL
F40/0175,Small Silty Sandy GRAVELS,41.3,,FGRSISA
F40/0357-5,Grey SILT,50,,SI
C-2034,SANDSTONEs - not recovered,165.5,,SS
I44/0751,Yellow CLAY,20.7,,CL
I44/0626,Silts,9.8,,SI
H45/0313,Yellow CLAY,20.5,,CL
F41/0296,Silty Sandy Flat GRAVELS,4.3,,GRSISA
J41/0207,"MUDSTONE grey CLAY, green Sandy CLAY",53,,MSCLSA
G42/0692,Topsoil,0.8,,SOIL
F40/0098,Grey Silty Sandy GRAVELS,4,,GRSISA
I44/0089,Coarse GRAVEL and SAND with minor Clay,24,,CGRSACL
G42/0826,Silty GRAVELS,13.5,,GRSI
I44/0964,Grey CLAY,14.5,,CL
J41/0078,LIMESTONE,9,,LIME
G42/0721,Damp SCHIST,17,,SCHIST
G42/0246,Sandy GRAVEL,7,,GRSA
F41/0462,SAND,11.2,,SA
F40/0222,Sandy GRAVELS and Silt Bands,24.8,,GRSISA
G41/0357,"Sandy GRAVELS, odd Cobble",24.5,,CGRSA
F40/0086,GRAVELS grey fine to MEDIUM,3,,FGR
F40/0320,TOPSOIL,0.2,,SOIL
I44/0783,Free-running rainbow GRAVEL (water bearing),38.1,,GR
H41/0018,"Green SCHIST facies, chlorite zone, well foliated, dark grey to light green in colour",83,,SCHIST
F41/0461,Very Sandy GRAVELS some Boulders,40.5,,BOSA
F40/0256,SAND,12.6,,SA
J41/0375,Brown Sandy grey GRAVELS,9.8,,GRSA
C-2007,Sandy MUDSTONE,159.5,,MS
I41/0048,Green SILTSTONE,36,,SS
G41/0211,Grey coarse GRAVEL,13.9,,CGR
G42/0804,"Sandy oxidised GRAVELS, odd Cobble",24,,CGRSA
F41/0449,GREY Silty GRAVELS,4.2,,GRSI
G40/0379,SANDS fine GRAVELS,2.4,,FGRSA
F41/0338,"Brown fractured SCHIST, soft and medium",36,,SCHIST
G40/0253,Silty Sandy GRAVELS,13.2,,GRSISA
J42/0139,Kakanui rock,53,,TERT
G41/0372,Sandy GRAVELS,5.9,,GRSA
F41/0163,Silty GRAVELS Wet,14.2,,GRSI
G40/0101,SAND GRAVELS Soft,9.75,,GRSA
J41/0548,Grey SILTSTONE,28.2,,SS
G42/0774,HARDER SCHIST,3.8,,SCHIST
G45/0160,CLAY,23,,CL
F40/0187,Silty Sandy GRAVELS with some Cobbles,27.7,,CGRSISA
G40/0350,Loose GRAVELS Silty - water flow,6.8,,GRSI
F40/0165,SAND,10.7,,SA
G44/0223,Grey ROCK,120,,TERT
G42/0794,SOIL,0.3,,SOIL
G42/0619,Brown Sandy GRAVEL,33.7,,GRSA
G41/0444,SANDSTONE BLUE,8.9,,SS
F40/0236,Silts,10,,SI
F41/0473,SCHIST rock,14,,SCHIST
F41/0343,GREY MED coarse SANDS,23,,CSA
F41/0365,Silty SCHIST QUARTZ GRAVELS,19.7,,GRSI
I40/0001,BASALT becoming very hard; SWL 4.0m,97,,VOLC
C-2014,MUDSTONE,192.6,,MS
J41/0390,Oamaru SANDSTONE,35.5,,SS
I44/0783,Hard yellow CLAY,29.3,,CL
G42/0741,"CLAYS, brown/blue",6.5,,CL
J41/0714,"TUFF, brown, highly weathered",12,Weathered Tuff,VOLC
F41/0247,Silty SAND,13.4,,SISA
G41/0292,Sandy GRAVEL,0.7,,GRSA
J41/0518,Loess,2,,SI
G40/0221,CLAY,62.9,,CL
G40/0258,BOULDERS,49,,BO
ECL 2013-12,VERY SOFT CLAY BROWNISH GREY,24.5,,CL
I44/1076,CLAY,9.8,,CL
G41/0346,Silty Sandy GRAVELS,15.2,,GRSISA
I44/0422,Silt,9.4,,SI
F40/0357-8,Grey SILT,50,,SI
C-2009,Silty-Sandy MUDSTONE mod to w carb,211.6,,MS
F41/0162,Sandy GRAVELS with some Cobbles,16.53,,CGRSA
J41/0577,MUDSTONE,28,,MS
G42/0786,Brown CLAY,2.6,,CL
I43/0043,green Silty SANDS,6.5,,SISA
I44/0774,Firm brown CLAY,3.05,,CL
I44/1049,Heavy Claybound GRAVELS,20.8,,GRCL
G40/0161,Yellow CLAY,23.5,,CL
G42/0756,Silty Sandy GRAVELS,18.9,,GRSISA
G42/0788,"Grey GNEISS, brittle shears in more pleitic sections, thin brittle shears, mild fracturing; SWL 4.92m",41.1,,TERT
E41/0112,Grey SILT,19.1,,SI
G45/0254,"Black ROCK, some Quartz",120.4,,TERT
C-2017,Med schistose GRAVELS and SANDS,3.5,,GRSA
G40/0189,Sandy GRAVELS,22,,GRSA
F40/0344-1,Very Silty tight grey GRAVELS,25.7,,GRSI
F45/0108,VERY WET SAND,50.4,,SA
F41/0504,GRAVEL,34.9,,GR
G40/0202,Yellow CLAY,30,,CL
I44/0993,Fine Quartz and River GRAVELS,23,,FGR
G44/0120,Fine SANDS and GRAVELS,11.1,,FGRSA
G41/0120,FREE GRAVEL,4.2,,GR
G45/0115,Grey SCHIST,40,,SCHIST
G41/0474,CLAY,30.58,,CL
C-2020,MUDSTONE increasing density - Weathered Schist,190,,SCHIST
F41/0313,BACKFILL,2.5,,FILL
I41/0042,Quartzy GRAVELS,83,,GR
I44/0061,CLAY,33.2,,CL
F42/0147,GRAVELS BROWN SILTS,41.6,,GRSI
ECL 2013-20,GRAVEL BROWN,21,,GR
I44/1000,TOPSOIL SILTS,2.1,,SOIL
H41/0146,Rounded Gravel with Silt layers,4,,GRSISA
I44/0821,CLAY,53.1,,CL
G42/0726,Silts,54.5,,SI
J41/0078,Topsoil,0.3,,SOIL
I44/0786,Hard yellow CLAY,33.5,,CL
I44/0985,"Band Quartz GRAVELS, clean GRAVELS (20 lpm)",20.65,,GR
J41/0552,White Brown MUDSTONE,62.4,,MS
H46/0159,Blue ROCK,100,,TERT
I44/1019,River GRAVELS quartz GRAVELS,10.5,,GR
G41/0422,TOPSOIL,0.3,,SOIL
I44/0938,Blue white CHIP,15,,FGR
G40/0198,Coarse Silty SAND,30.2,,CSASI
G40/0268,Blue SILT,42.5,,SI
G40/0306,Sandy GRAVEL,43.3,,GRSA
J41/0729,"Blue grey MUDSTONE, odd trace of grey Siltstone, thin layers",270,,MS
G41/0228,Coarse Cobbly GRAVELS,7.7,,CGR
I43/0059,OXY ROCK,6,,BaseRock
J42/0139,Grey SILTSTONE,46.3,,SS
F41/0481C,ROCK,6.2,,TERT
H45/0101,Fine Sandy GRAVEL and WOOD,18.2,,FGRSAWO
F40/0266,Yellow Claybound GRAVEL,10,,GRCL
G41/0370,Sandy GRAVELS coarse,30.5,,CGRSA
G40/0102,Sandy GRAVELS,8.9,,GRSA
C-2031,Bedded grey green Silty MUDSTONE,16.1,,MS
F41/0330,Coarse to Cobbly Silty GRAVELS,22.6,,CGRSI
G40/0150,Sandy coarse GRAVEL,82.3,,CGRSA
G42/0590,Dark brown MUDSTONE,9.8,,MS
F41/0208,Silts,1.5,,SI
H41/0176,"Blue SCHIST, water flow at 58m",60,,SCHIST
G41/0173,Sandy GRAVELS,0.4,,GRSA
J42/0175,"Coarse GRAVEL, MUDSTONE and Quartz",148.4,,CGRMS
G42/0137,Grey Sandy GRAVELS,3.2,,GRSA
J41/0399,Light grey MUDSTONE,45.1,,MS
J41/0704,Grey Firm CLAY,7,,CECL
G40/0408,SOIL SILT,0.5,,SOIL
G41/0336,Silty Sandy coarse GRAVEL,36.9,,CGRSISA
H46/0101,Fine Claybound SAND,42.5,,CLSI
I44/0897,GRAVELS,0.7,,GR
F41/0449,Yellow Silty GRAVEL,17.5,,GRSI
F40/0125,Sandy SILT,10.3,,SISA
F40/0208,SANDS and fine GRAVELS,24,,FGRSA
F40/0295,Silty Sandy GRAVELS,9.3,,GRSISA
H42/0184,Blue SILTS and MUDSTONE band,108,,SIMS
I44/0769,Medium GRAVEL,16.5,,GR
C-2049,Interbedded SANDS and GRAVELS and MUDSTONES; bedding on scale 0.2 to 1m,86.2,,GRSAMS
G42/0704,CLAY,24.3,,CL
I44/0090,CLAY,9.1,,CL
G45/0281,Small QUARTZ GRAVELS with SAND and WATER,38,,GRSA
I44/1087,TOPSOIL,0.5,,SOIL
C-2011,Highly carbonaceous MUDSTONE to Muddy LIGNITE down unit,290.4,,LIMS
I44/0508,"GRAVELS, heavy and Claybound",19.7,,GRCL
I44/1037,Light Claybound GRAVELS,13.3,,GRCL
J41/0383,"Quartz GRAVELS, traces of white Clay - firm hard",204.8,,GRCLTR
H45/0313,Hard yellow CLAY,15.1,,CL
H42/0192,Blue CLAY,60.2,,CL
C-2044,Weak to moderate carbonated MUDSTONE,13.3,,MS
I44/0761,Tight GRAVEL,29.3,,CEGR
G43/0223,Sandy yellow GRAVELS,7.7,,GRSA
C-2070,MUDSTONE,26.6,,MS
F40/0331,Small Sandy GRAVELS,4.2,,FGRSA
E41/0138,Coarse Cobbly GRAVELS,5.3,,CGR
F41/0137,SCHIST,33.3,,SCHIST
G40/0141,TOPSOIL,0.6,,SOIL
I41/0049,Yellow CLAY,34.6,,CL
G43/0191,TOPSOIL,0.5,,SOIL
H44/0011,Grey SCHIST,33,,SCHIST
J41/0486,Grey SILTSTONE,60.5,,SS
I44/1144,"GRAVEL with minor coarse SAND, well graded",52.9,,GRCSA
I44/0746,Loose GRAVEL,10.8,,GR
G40/0245,Silty Sandy GRAVELS and COBBLES,54,,CGRSISA
G42/0232,GRAVELS SAND and silts,16,,GRSISA
G42/0709,Claybound GRAVELS,2.8,,GRCL
G41/0204,Sandy Gravel and Boulders,15.3,,CGRSA
G45/0260,Blue ROCK,120,,TERT
I44/1108,Brown Sandy GRAVEL,5.3,,GRSA
G42/0106,Grey coarse GRAVELS,18,,CGR
G42/0811,FINE Sandy GRAVELS,18.6,,FGRSA
G42/0832,SCHIST Rock,22.87,,SCHIST
G40/0059,Coarse COBBLE,1.8,,CGR
J42/0034,Surface CLAYS,2.25,,CL
J42/0152,GRAVEL,15.24,,GR
G41/0248,"Sandy GRAVEL, clay colour in water",33.2,,GRSA
J41/0380,Yellow Silty CLAY,6.4,,CLSI
G42/0765,"GRAVEL with some Sand, light grey; dense, well graded, coarse to fine, subrounded to subangular, Quartz, Feldspar, and slightly weathered Schist; SAND coarse, angular (outwash Gravel)",4,,FGRSA
G40/0264,Sandy GRAVEL,4,,GRSA
G42/0810,Dark SILTS with some Gravel,26,,GRSISA
F41/0389,Sandy Silty GRAVEL,15.5,,GRSISA
I44/0089,Loose quartz GRAVEL,52.75,,GR
G40/0291,Brown Silty GRAVELS,3.7,,GRSI
I44/1000,Yellow CLAY Brown River GRAVELS and quartz,12,,GRCL
H45/0319,Small ANGUAL GRAVELS,33.7,,FGR
G41/0099,Yellow CLAY,24.3,,CL
G40/0042,Very Sandy GRAVELS,10.8,,GRSA
I44/0581,CLAY,19.6,,CL
I44/0974,GRAVELS brown -grey,19.5,,GR
I43/0039,TOPSOIL,1,,SOIL
G45/0214,LESSER GRAVELS small FLOW OF WATER,19.2,,FGR
J41/0288,Rounded GRAVELS and SAND,4,,GRSA
I44/1058,DARK BROWN CLAY,24.5,,CL
F41/0503,SILT and GRAVEL,2.2,,GRSISA
C-2046,Weathered bedded grey blue MUDSTONE,89,,MS
G42/0669,Heavy Claybound quartz GRAVELS,30.6,,GRCL
H45/0116,"Brown GRAVELS, some Clay",6.7,,GRCL
I44/0736,Yellow medium grain and SAND,3.85,,SA
J41/0253,Green SAND,4.5,,SA
J41/0520,SAND,35.2,,SA
J41/0766,TOPSOIL,0.4,,SOIL
E41/0001,Sandy GRAVEL,6,,GRSA
G41/0278,Brown SILTS some Gravels,12.8,,GRSISA
F39/0001,Sandy GRAVELS and Boulders,2.4,,CGRSA
F41/0493,Very Silty GRAVEL,23.8,,GRSI
F41/0269,Silty GRAVELS,1.8,,GRSI
J41/0701,Coarse GRAVEL,0.7,,CGR
G41/0327,Sandy GRAVELS,11.8,,GRSA
J41/0496,Grey-green SCHIST ,65.1,,SCHIST
C-2019,Dark brown carbonaceous MUDSTONE,131.6,,MS
G42/0100,Sandy Loose GRAVELS,12,,GRSA
J41/0208,"BASALT and grey ROCKS, orange CLAY",36,,VOLC
G42/0684,SAND,15.6,,SA
G40/0065,Yellow Silty Sandy GRAVEL,10.4,,GRSISA
F41/0174,Silty SCHIST GRAVEL,2.3,,GRSI
G42/0636,Yellow Coarse Claybound GRAVEL,48,,CGRCL
G45/0250,Brown SILTS,2.2,,SI
I44/1027,CLAY,26.6,,CL
F40/0113,Silty GRAVELS,47.2,,GRSI
F41/0356,GREY SCHIST BOULDER,8.4,,BO
I44/0856,COBBLES and BOULDERS,10,,BOCGR
G43/0112,loose Sandy GRAVELS,4,,GRSA
G45/0226,Large ROCKS,11.2,,BO
I44/1090,Brown Silty GRAVELS,21.5,,GRSI
F40/0308,Silty Sandy GRAVELS,30.7,,GRSISA
I44/1042,Damp Claybound GRAVELS,23.7,,GRCL
H41/0167,TOPSOIL,0.3,,SOIL
I44/0778,GRAVEL,32.6,,GR
J41/0747,Blue SILT,34,,SI
I44/0966,Yellow CLAY and SANDS,10.8,,CLSA
F41/0119,Plated SCHIST and quartz,22,,SCHIST
G42/0262,Rounded well graded GRAVELS,8.3,,GR
J41/0566,White Clean GRAVEL,101.3,,GR
C-2010,Pale grey sl Silty MUDSTONE,33.5,,MS
G41/0351,Very Sandy GRAVELS,14.2,,GRSA
G45/0267,Brown MUDSTONE with Lignite layers,28.9,,LIGN
F41/0300,"CLAY, fine GRAVELS",1.54,,FGRCL
I44/0702,Sandy GRAVELS,17.2,,GRSA
H45/0302A,Yellow Silty GRAVEL,13.1,,GRSI
G42/0204,Blue PUG,19.3,,CL
G45/0186,Carbonaceous MUD and COAL,19,,COCL
G44/0246,CLAY,6,,CL
H43/0202,SOIL,0.3,,SOIL
J41/0753,Grey MUDSTONE,132,,MS
C-2034,Silty MUDSTONE,37.2,,MS
F41/0340,"Sandy GRAVELS, COBBLES, some Silts",19.1,,CGRSISA
I44/0750,Loose GRAVEL,10.1,,GR
J41/0351,Brown Silty CLAY,5.6,,CLSI
C-2006,MUDSTONE,20.4,,MS
G41/0230,Sandy GRAVELS and COBBLES,30,,CGRSA
G44/0137,Weathered SCHIST,17.3,,SCHIST
ECL 2013-3,Very Soft CLAY light brown,25,,CL
H44/0031,WATER BOUND QUARTZ GRAVEL,44.2,,GR
F40/0247,Yellow Silty coarse GRAVEL with Cobbles,18.1,,CGRSI
G40/0234,BOULDERS,2.8,,BO
I44/1005,FILL: M4 Metal,1.5,,FILL
J42/0092,Grey-black granite type hard rock,128.5,,TERT
I44/0957,Yellow CLAY,18,,CL
G42/0624,"Grey SCHIST, some Quartz",64,,SCHIST
F41/0395A,Brown Silty coarse Schist GRAVELS,3,,CGRSI
G42/0810,FINE GRAVELS SILT,6,,GRSISA
G40/0308,Silty Sandy GRAVEL with BOULDERS,18,,CGRSISA
G42/0246,SAND,8.5,,SA
G40/0278,Dry Claybound GRAVELS,76,,GRCL
G41/0478,TOPSOIL,0.5,,SOIL
I44/0109,CLAY,28.1,,CL
G41/0215,Silty Sandy GRAVELS,24.8,,GRSISA
J41/0375,Topsoil,0.3,,SOIL
H45/0342,FILL,1.3,,FILL
H45/0319,CLAY,29,,CL
I44/0993,Yellow CLAY,6.5,,CL
F41/0253,Sandy GRAVELS,15.2,,GRSA
H45/0116,Claybound GRAVELS,4.6,,GRCL
G42/0732,SAND some Gravels,30.5,,SAGR
G41/0269,"Sandy COBBLES, GRAVELS",17.8,,CGRSA
F41/0324A,Sandy GRAVEL,1.4,,GRSA
G40/0240,Silty SAND,68.4,,SISA
G43/0153,Sandy GRAVELS and COBBLES,20.9,,CGRSA
C-2034,Silty MUDSTONE,66.1,,MS
G42/0863,Coarse Cobbly GRAVELS,35.5,,CGR
F40/0334,"Water has turned blue, well 81.4m into basement SILTS",83.4,,SI
J42/0143,UNDIFFERENTIATED BASALT BODY,46.5,,VOLC
G42/0857,HEAVY Claybound GRAVEL DRY,41.6,,GRCL
J41/0392,Light brown MUDSTONE,22.5,,MS
I44/0987,Brown GRAVELS with fine Quartz SAND,13.2,,FGRSA
H44/0013,Grey GRIT,13.4,,CSA
I44/0746,Brown-yellow CLAY,20.3,,CL
G41/0282,Silts,41.8,,SI
I44/1027,Silts,2.5,,SI
H45/0310,Yellow CLAY,1.6,,CL
I44/0687,CLAY,20,,CL
G42/0787,Green-Brown Silty CLAY,27,,CLSI
I44/0785,Sandy gravel with yellow CLAY lenses,25.9,,GRCLSA
G40/0059,Silty Sandy small GRAVEL,9.1,,GRSISA
H46/0163,ROCK,175.7,,TERT
